Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
182	CG182	Sei tu Signore il pane	G. Kirbye	E. Costa			LDC	"M: G. Kirbye, T: E. Costa  ed. LDC - RN378"	RN		Inno	LIT	EUC		RN378	RN378	CDP								;;	Coro e Assemblea
183	CG183	Segni del tuo amore	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen	Liturgico - Moderno	Canzone	LIT	ORD	OFF	 			RCB002				08 - Offertorio			08 - Offertorio;;	Coro
184	CG184	Seminare Dio	Ignoto	Ignoto				"M: Ignoto, T: Ignoto   -  "	M2G		Canzone	RIP	RIP		 										;;	Assemblea
185	CG185	Servire è regnare	Gen Verde		Il mistero pasquale	2011	Città Nuova	"M: Gen Verde , 'Il mistero pasquale'  ed. Città Nuova (2011)-  "	Gen		Canzone	LIT	QUA	LAVANDA DEI PIEDI	 			RCB108	2013			20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Coro
186	CG186	Servo per amore	Gen Rosso		Se siamo uniti	1989	Città Nuova	"M: Gen Rosso , 'Se siamo uniti'  ed. Città Nuova (1989)-  "	Gen		Canzone	LIT	ORD		 										;;	Assemblea
187	CG187	Signore dolce volto	H. L. Hassler	G. Blasich		1601	LDC	"M: H. L. Hassler, T: G. Blasich  ed. LDC (1601)- RN137"	RN		Inno	LIT	QUA		RN137	RN137	CDP								;;	Assemblea
188	CG188	Signore sei tu il mio pastor	R. Jef	Sal 22		1956	LDC	"M: R. Jef, T: Sal 22  ed. LDC (1956)- CDP727"	CDP			LIT	ORD		CDP727		CDP727								;;	Assemblea
189	CG189	Soccorri i tuoi figli	F. Rainoldi	Te Deum				"M: F. Rainoldi, T: Te Deum   - RN98"	RN			LIT	QUA		RN98	RN98			2014			20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
190	CG190	Su ali d'aquila	Joncas					M: Joncas    -  	Altri		Canzone	LIT	ORD		 										;;	Assemblea
191	CG191	Soffio di vita	L. Picchi	S. Albisetti		1961	Carrara	"M: L. Picchi, T: S. Albisetti  ed. Carrara (1961)- CDP563"	CDP			LIT	SPI		CDP563		CDP563								;;	Assemblea
192	CG192	Spirito di Dio	RNS					M: RNS    - CDP	RNS	Liturgico - Polifonico		LIT	SPI		CDP		CDP	RCB019				15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Coro
193	CG193	Stai lì	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen		Canzone	LIT	RIP		 										;;	Assemblea
194	CG194	Te al centro del mio cuore	Gen Verde		E' bello lodarti	2001	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (2001)-  "	Gen	Religioso	Canzone	RIP	RIP		 			RCB030				12 - Comunione			12 - Comunione;;	Coro e Assemblea
195	CG195	Ti esalto Dio mio Re	L. Lachance	D. Fabian		1972		"M: L. Lachance, T: D. Fabian   (1972)- CDP738"	CDP			LIT	ORD		CDP738		CDP738								;;	Assemblea
196	CG196	Te lodiamo Trinità	L. Franz	G. Stefani		1774	LDC	"M: L. Franz, T: G. Stefani  ed. LDC (1774)- RN205"	RN			LIT	ORD		RN205	RN205	CDP								;;	Assemblea
197	CG197	Ti preghiam con viva fede	L. Picchi	V. Meloni		1953	OR	"M: L. Picchi, T: V. Meloni  ed. OR (1953)- CDP460"	CDP			LIT	AVV		CDP460		CDP460								;;	Assemblea
